Cluster Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan Pakistan,995,1150,1214,1393,3111,3668,4032,3198,2634,2299,2557
Egypt Isreal Syria Iraq Turkey Georgia,1528,1336,1401,1637,2010,3733,5200,4480,4957,3177,1868
Somalia area,148,98,115,202,298,393,951,409,617,641,537
Ireland UK,,,59,68,77,160,134,143,112,137,104
East India Nepal Bangladesh,532,666,690,644,577,827,828,1254,977,1052,591
Philippines,271,226,201,133,243,642,595,719,639,687,600
Northern Malaysia Thailand,176,289,259,178,281,469,437,278,333,179,184
Columbia,130,137,132,82,87,142,228,131,111,103,216
Tunisa North Libya Serbia Macedonia Greece,,,,,,362,696,593,407,242,121
Nigeria,,,,145,578,281,638,722,548,577,848
Yemen Northern Somalia Saudi Arabia,,,113,116,660,406,774,711,579,273,397
DRC Sudan Uganda,,,,,,,98,269,282,158,167
Mali Brukina Faso,,,,,,,67,97,99,163,205